상호,주소,별점,메뉴
고흥순대국머리고기,서울 광진구 아차산로34길 26 1층,3.7,"순대국(9,000원), 순대국 (특)(11,000원), 돼지국밥(9,000원), 돼지국밥 (특)(11,000원), 살코기 순대국(10,000원), 살코기 순대국 (특)(12,000원), 내장탕(10,000원), 내장탕 (특)(12,000원), 머리고기 (중)(19,000원), 술국(22,000원), 순대한접시(12,000원), 모듬안주(27,000원), 머리고기 (대)(22,000원)"
최원석의돼지한판 광장점,서울 광진구 아차산로 478 1층,3.8,"숙성삼겹살 (160g)(16,000원), 숙성주먹고기 (160g)(16,000원), 주먹고기+삼겹살 (500g)(50,000원), 가브리살 (160g)(19,000원), 항정살 (160g)(21,000원)"
소사면옥,서울 광진구 능동로 270 윤중빌딩 1층 101호,3.9,"물냉면(10,000원), 비빔냉면(10,000원), 코다리냉면(11,000원), 떡만두국(9,000원), 대왕갈비탕(15,000원), 서울옛날불고기(16,000원), 냉면사리(4,000원), 수제만두(6,000원), 튀김만두(7,000원), 제주흑돼지 냉제육(12,000원)"
홍별감네,서울 광진구 긴고랑로 28 1층,,"차돌된장샤브샤브 (1인분)(25,000원), 두루치기 (1인분)(14,000원), 닭도리탕 (소)(30,000원), 생삼겹살 (180g)(15,000원), 된장찌개(9,000원)"
최원석의돼지한판쭈꾸미 건대1호점,서울 광진구 아차산로 199 1층,3.5,"숙성주먹고기 (160g)(15,000원), 숙성삼겹살 (160g)(15,000원), 가브리살 (160g)(18,000원), 항정살 (160g)(20,000원), 쭈꾸미철판 (1인)(15,000원)"
마루샤브 구의점,서울 광진구 아차산로 355 타워더모스트광진아크로텔 지하1층,3.1,"소고기샤브(평일런치)(24,800원), 한우샤브(평일런치)(28,000원), 해물샤브(평일런치)(32,000원), 소고기샤브(평일디너)(30,000원), 스페셜모듬샤브(평일런치)(35,000원), 한우샤브(평일디너)(33,000원), 해물샤브(평일디너)(36,000원), 스페셜모듬샤브(평일디너)(39,000원), 소고기샤브(주말/공휴일)(31,000원), 한우샤브(주말/공휴일)(34,000원), 해물샤브(주말/공휴일)(37,000원), 스페셜모듬샤브(주말/공휴일)(40,000원), 미취학생(36개월 이상)(8,000원), 초등학생(15,000원)"
카레당,서울 광진구 능동로 251 1층,4.4,돈까스카레(0원)
성수완당 본점,서울 광진구 아차산로26길 13 1층,4.4,"해장 완당면(12,000원), 성수 완당면(9,500원), 온면(8,000원), 들기름골동면(10,000원), 들기름골동반(10,000원), 수제가지 만두 & 샐러드(12,000원), 바질로제 돈까스(12,000원), 촉촉바삭 돈까스(10,000원), 매운완당면(10,000원), 수제가지만두(10,000원), 로제치킨새우돈까스(15,800원), 청양에그마요치킨새우돈까스(15,800원), 해장완당국밥(12,000원), 성수온면(8,000원)"
양양집 구의점,서울 광진구 아차산로 457 1층,4.0,"한우양선지해장국(11,000원), 한우양지수육(소)(30,000원), 한우양선지해장국(특)(13,000원), 한우양순두부해장국(11,000원), 한우양순두부해장국(특)(13,000원), 한우육회비빔밥(15,000원), 한우육회비빔밥(특)(20,000원), 매운한우육회비빔밥(16,000원), 매운한우육회비빔밥(특)(21,000원), 우대갈비찜(소)(38,000원), 우대갈비찜(중)(58,000원), 한우양지수육(중)(40,000원), 한우사태, 양조림(20,000원), 한우육회(25,000원), 한우 시래기 해장국(11,000원), 매운스지무침(30,000원)"
고기굽는놈,서울 광진구 아차산로31길 8,3.8,"한돈숯불돼지갈비250g(16,000원), 生소갈비살120g(14,000원), 암퇘지삼겹살p160g(14,000원), 암퇘지목살160g(14,000원), 한돈가브리살130(16,000원), 生소갈비한접시400g[할인](45,000원), 암퇘지한접시500g+치즈[할인](48,000원), 와규소꼬리구이160g(18,000원), 제주生소세지200g(13,000원), 재래식소고기된장찌개[공기밥](6,000원), 암퇘지김치찌개[공기밥](6,000원), 뚝배기된장술밥(7,000원), 살얼음동동 김치말이국수(6,000원), 마늘비빔국수(6,500원)"
제주탐하리,서울 광진구 천호대로101길 11 1층,4.1,"목살비계 (150g)(16,000원), 근고기 (600g)(52,000원), 김치찌개(8,000원), 고추장찌개(8,000원), 비빔국수(6,000원)"
