상호,주소,별점,메뉴
라멘미세,서울 광진구 능동로38길 30,,"돈코츠라멘(8,000원), 매운돈코츠라멘(8,500원), 미소라멘(8,500원), 가츠동(8,000원), 차슈동(8,000원)"
백돈 구의점,서울 광진구 아차산로41길 22 1층,5.0,"안심카츠(12,500원), 트리플 모듬카츠(안심,등심,치즈)(15,500원), 마라돈카츠(12,800원), 돈카카레덮밥(11,000원), 맛보기 카레(3,000원), 등심카츠(12,800원), 통치즈 돈카츠(13,500원), 고구마 치즈카츠(14,000원), 생선카츠(11,000원), 메밀소바(7,900원), 물 냉면(7,900원), 비빔 냉면(7,900원), 어묵 우동(7,900원), 안심+통치즈(반반세트)(13,000원), 안심+고구마 치즈(반반세트)(13,500원), 통치+고구마 치즈(반반세트)(13,000원), 카레우동(7,900원), 안심+등심(반반세트)(13,000원), 김치우동(8,500원)"
마니아우동,서울 광진구 긴고랑로 25,3.8,"우동(5,000원), 짜장(5,000원), 어묵우동(6,000원), 얼큰우동(5,500원), 비빔우동(6,500원), 어묵탕(5,000원), 멸치국수(5,000원), 얼큰국수(5,500원), 어묵국수(6,000원), 비빔국수(6,500원), 냉국수(6,000원), 김밥(3,500원), 계란김밥(4,500원), 누드김밥(4,000원), 짜장밥(5,500원), 콩국수(계절)(8,000원), 콩우동(계절)(8,000원), 물냉면(계절)(7,000원), 비빔냉면(계절)(7,000원)"
하나참치 군자,서울 광진구 능동로35길 28,4.1,"벚꽃(33,000원), 매화(45,000원), 하나스페샬(55,000원), 예약스페샬(85,000원), 특선초밥(15,000원)"
산쪼메 구의점,서울 광진구 아차산로51길 10 1층,4.3,"돈코츠라멘(9,000원), 산쪼메라멘(9,500원), 시오버터라멘(9,000원), 쇼유라멘(9,000원), 츠케멘(9,000원)"
유니드라멘,서울 광진구 능동로37길 44 1층,,"you need 파이탄(11,000원), 시루나시 탄탄멘(10,000원), 하루마끼 with 새우(4,500원)"
스시교센,서울 광진구 능동로35길 9 2층,4.7,"모듬초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(16,500원), 오늘의 초밥11p＋서비스2p＋모찌리도후샐러드＋고로케(18,500원), 특모듬 초밥12p＋서비스2p＋모찌리도후샐러드＋고로케(21,500원), 교센 초밥13p＋서비스2p＋모찌리도후샐러드＋고로케(26,500원), 와규 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(24,000원), 찐새우 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(24,000원), 연어 초밥＋서비스2p＋모찌리도후샐러드＋고로케(26,000원), 회덮밥（회양많음 배부름주의）(14,500원), 특 회덮밥（일반회덮밥보다 더 양 많음 허리띠푸시길）1人(16,000원), 사케동（이건뭐 거의 서비스개념임 마진적음주의）1人(18,000원), 참치뱃살 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(39,000원), 참치 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(23,000원), 찐전복 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(25,000원), 광어 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(25,000원), 묵은지광어 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(26,000원), 간장새우 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(24,000원), 민물장어 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(28,000원), 생새우갈릭 초밥10p＋서비스2p＋모찌리도후샐러드＋고로케(20,500원), 가리비갈릭초밥+서비스2ps+모찌리도후샐러드+고로케(20,500원), 광어（대광어）쫄깃쫄깃주의 21p(38,000원), 연어（프리미엄등급7키로이상）입에서녹음 21p(38,000원), 광어＋연어（진짜 잘드시는거임）21p(38,000원), 참이슬 후레쉬(5,000원), 처음처럼(5,000원), 청하(6,000원), 카스(5,000원), 백세주(7,000원), 화요(24,000원), 일품진로(24,000원), 테라(5,000원)"
영원참치초밥,서울 광진구 용마산로 101-1 포고빌딩 1층,5.0,"민어탕(18,000원), 모밀정식(8,000원), 혼마구로초밥(35,000원), 생대구탕(12,000원), 참치회덮밥(7,000원)"
대양참치 건대본점,서울 광진구 동일로22길 97 2층,3.2,
김승현스시 군자점,서울 광진구 천호대로 559,2.6,"[웃음가득]미소초밥 10ps ＋서비스 2ps(14,000원), [인기메뉴]특선초밥 12ps＋서비스 2ps(18,000원), [쉐프추천]스페셜초밥 12ps＋서비스 2ps(21,000원), [오마카세급]VIP 초밥 14ps＋서비스 3ps(28,000원), 모듬회 2人 12종류x2ps +서비스초밥 4ps(45,000원), 모듬회 3人 12종류x3ps +서비스초밥 6ps(64,000원), [당일공수한횟감]활생선 모듬초밥 10ps＋서비스 2ps(22,000원), 혼술사시미 12ps+서비스초밥 2ps(25,000원), 회덮밥SET(18,000원), 우동SET(14,000원), [自信感자신감]연어초밥 10ps＋서비스 2ps(22,000원), [참치한가득 UP]참치 회덮밥(13,000원), [불맛제대로]그릴불초밥 10ps＋서비스 2ps(20,000원), [취향저격]초딩입맛 10ps＋서비스 2ps(14,000원), [참치러버]참다랑어 모듬초밥 8ps＋ 서비스 3ps(31,000원), 스페셜 사시미 4人+서비스초밥 8ps(109,000원), 스페셜참치 2~3人+서비스초밥 6ps(69,000원), 활광어회+서비스초밥 4ps(43,000원), 생연어회+서비스초밥 4ps(45,000원), 활광어＋생연어회+서비스초밥 4ps(47,000원), 혼술 연어사시미+서비스초밥 2ps(25,000원), 성게알 한판(30,000원), 참다랑어 대뱃살 1ps(6,000원), 참다랑어 배꼽살 1ps(8,000원), 고노와다 60g(7,000원), 혼술 광어회+서비스초밥 2ps(27,000원), 히레카츠SET(18,000원), 모밀SET(15,000원), [가장맛있는熟成]광어초밥 10ps＋서비스 2ps(21,000원), [직화로 구운]꽃등심초밥 10ps＋서비스 2ps(21,000원)"
