상호,주소,별점,메뉴
미스터피자 아차산점,서울 광진구 천호대로 647 2층,2.8,"디아볼라 블라썸M(23,900원), 미피 클래식 반반피자M(21,500원), 쉬림프로제 파스타(9,900원), 트리콜로레 파스타(9,900원), 하프앤하프 시그니처L(33,900원), 미피 클래식 반반피자L(27,900원), 쉬림프골드L(39,500원), 하프앤하프L(39,500원), 포테이토골드L(38,500원), 치즈블라썸스테이크L(39,500원), 쉬골샌드(5,900원), 홈샐러드 6구(6,500원), 레전드바질마스카포네M(23,900원), 레전드쉬림프M(26,900원), 레전드포테이토M(25,900원), 쉬림프 시그니처M(25,900원), 하프앤하프 시그니처M(25,900원), 포테이토 시그니처M(24,900원), 미스터트리오 시그니처M(25,900원), 새우천왕 시그니처M(25,900원), 치즈블라썸스테이크 시그니처M(25,900원), 디아볼라 블라썸L(30,900원), 레전드바질마스카포네L(30,900원), 레전드쉬림프L(33,900원), 레전드포테이토L(32,900원), 쉬림프 시그니처L(33,900원), 포테이토 시그니처L(32,900원), 미스터트리오 시그니처L(33,900원), 새우천왕 시그니처L(33,900원), 치즈블라썸스테이크 시그니처L(33,900원)"
빅베어8,서울 광진구 능동로 209 대양AI센터 2층,3.3,
르빠니에블루 건대점,서울 광진구 능동로 149-1 지하 1층,4.8,"닭갈비스테이크(19,800원), 가리비 관자구이(16,800원), 크림뷜레(4,000원), 닭다리살 겨자 스테이크와 버섯리조또(0원), 토마토 파스타(0원), 시금치 해물 파스타(0원), 런치코스(49,500원)"
탄토탄토,서울 광진구 아차산로33길 49 2층,3.9,"하우스스테이크(28,800원), 라자냐(19,800원), 브리&바질느끼(18,800원), 토마토스테이크리조또(18,800원), 들깨크림리조또(15,800원), 해산물먹물리조또(18,800원)"
LAB41,서울 광진구 능동로 300 2층,,"비스크로제파스타(20,000원), 고르곤졸라크림뇨끼(20,000원), 항정살참나물파스타(20,000원), 화이트라구파스타(20,000원), 명란알리오올리오(18,000원), 새우루꼴라오일파스타(19,000원), 아마트리치아나(18,000원), 통베이컨크림페투치네(19,000원), 클래식까르보나라(19,000원), 스테이크리조또(20,000원), 해산물토마토리조또(18,000원)"
케밥인 건대역점,서울 광진구 아차산로 221,4.6,"16. 양갈비(24,900원), 20. 케밥 인 스페셜（3人）(59,900원), 12.라이스&믹스（닭&양）케밥(12,900원), 18. 닭고기 시쉬 케밥(16,900원), 2.박스 닭고기 케밥 세트（박스 닭고기 케밥＋감자튀김＋탄산음료 랜덤）(10,900원), 1.닭고기 랩 chicken wrap(6,900원), 2.양고기 랩 lamb wrap(7,900원), 3.믹스（닭&양）랩 mix wrap(8,900원), 4.점보 닭고기 케밥(7,900원), 5.점보 양고기 케밥(8,900원), 6.점보 믹스 케밥（닭&양）(9,900원), 7.라이스 랩 닭고기(7,900원), 8.라이스 랩 양고기(8,900원), 9.라이스 랩 믹스（닭&양）(9,900원), 10.라이스&닭고기 케밥(10,900원), 11.라이스&양고기 케밥(11,900원), 13.닭고기랩＋감자튀김(11,900원), 14.양고기랩＋감자튀김(12,900원), 15.믹스（닭&양）랩＋감자튀김(12,900원), 17. 아다나 케밥(12,900원), 19. 양고기 시쉬 케밥(17,900원), 1.커플세트 케밥2人（닭고기랩＋양고기 케밥＋감자튀김＋탄산음료 랜덤）(19,900원), 3.박스 양고기 케밥 세트（박스 양고기 케밥＋감자튀김＋탄산음료 랜덤）(11,900원), 4.박스 믹스 닭&양 케밥 세트（박스 믹스 케밥＋감자튀김＋탄산음료 랜덤）(12,900원), 감자튀김(4,500원), 콜라(2,000원), 사이다(2,000원), 환타(2,000원), 오렌지 쥬스(3,000원), 포도 쥬스(3,000원)"
라비올리,서울 광진구 천호대로129길 16 1층,4.6,"빠네 크림파스타(오리지날)(9,900원), 마라크림파스타(오리지날)(7,500원), 치킨미트크림파스타(오리지날)(7,500원), 까르보나라파스타(오리지날)(7,500원), 불고기로제파스타(오리지날)(7,500원), 새우로제파스타(오리지날)(7,500원), 이마트리치아나 토마토파스타(오리지날)(7,500원), 스파이시 치킨 토마토파스타(오리지날)(7,500원), 해산물 마리나라 토마토파스타(오리지날)(7,500원), 뽀모도로 토마토파스타(오리지날)(7,500원), 뚝배기 사천 토마토파스타(오리지날)(7,500원), 봉골레 올리브오일파스타(오리지날)(7,500원), 알리오 올리오 올리브오일파스타(오리지날)(7,500원), 바질 올리브오일파스타(오리지날)(7,500원), 치즈 오븐 스파게티(오리지날)(7,500원)"
미태리 구의역점,서울 광진구 자양로 112 1층 105~106호,4.1,"[ BEST ] 토마토 해장 짬뽕 파스타(9,500원), [ BEST ] 감바스 파스타(9,500원), [ BEST ] 봉골레 파스타(8,500원), [ BEST ] 땡초 크림 치즈 리조또(9,500원), [ BEST ] 치즈 오븐 파스타(9,500원), [ BEST ] 미태리 고르곤졸라 피자(9,000원), 시그니처 큐브 스테이크(23,000원), 미태리 파스타 & 피자 세트(27,800원), 토마토 파스타(7,500원), 양송이 까르보나라(8,500원), 로제 까르보나라(9,500원), [ BEST ] 이태리 정통 빠네 파스타(11,800원), [ BEST ] 알리오올리오 파스타(8,200원), 킹소시지 김치 볶음밥(9,500원), 소불고기 필라프(8,800원), 땡초 치즈 오븐 파스타(9,500원), 음료 랜덤(300원), 미태리 1인 세트(10,800원), 치즈 뽀모도로 파스타(8,500원), 해쉬 리얼 토마토 파스타(9,200원), 베이컨 토마토 파스타(9,500원), 땡초 베이컨 토마토 파스타(9,200원), 해물 토마토 파스타(9,500원), 까르보나라(5,100원), 베이컨 까르보나라(9,500원), [ BEST ] 매운 까르보나라(9,500원), [ BEST ] 로제 맵제 파스타(12,200원), 이태리 정통 매운맛 빠네 파스타(11,800원), 감베리 파스타(9,500원), 토마토 치즈 리조또(9,500원)"
노모어피자 군자점,서울 광진구 능동로 328 1층,4.7,"반 반 피 자（R）(19,800원), 반 반 피 자（L）(26,800원), 치즈피자 P(9,800원), 슈퍼콤비네이션피자 P(13,800원), 바질마스카포네피자 P(12,800원), 콰트로치즈피자 P(12,800원), 옥수수새우피자 P(13,800원), 베이컨포테이토피자 R(21,800원), 옥수수새우피자 R(23,800원), 옥수수새우피자 L(32,800원), 화이트 시푸드 피자 P(13,800원), 페퍼로니피자 P(10,800원), 더블페퍼로니피자 P(12,800원), 베이컨포테이토피자 P(11,800원), 스윗고구마피자 P(12,800원), 에멘탈머쉬룸피자 P(12,800원), 베이컨하와이안 피자 P(12,800원), 화이트 시푸드 피자 R(23,800원), 치즈피자 R(18,800원), 페퍼로니피자 R(19,800원), 더블페퍼로니피자 R(21,800원), 스윗고구마피자 R(21,800원), 에멘탈머쉬룸피자 R(21,800원), 슈퍼콤비네이션피자 R(23,800원), 베이컨하와이안피자 R(22,800원), 바질마스카포네뇨끼피자 R(22,800원), 콰트로치즈피자 R(22,800원), 화이트 시푸드 피자 L(31,800원), 치즈피자 L(24,800원), 페퍼로니피자 L(27,800원)"
도미노피자 자양점,서울 광진구 아차산로 312 드림타운 1층 101호,2.2,"블랙타이거 슈림프 L 콜라 세트(39,200원), 와와웨 스테이크 L 콜라 세트(36,200원), [스프라이트] 포테이토 L 세트(29,600원), 블록버스터4 L 제로 콜라 세트(39,200원), K-Rib&치즈 M(28,000원), 블랙타이거 슈림프 L(36,900원), 블랙타이거 슈림프 M(30,000원), 포테이토 L(27,900원), 슈퍼디럭스 L(28,900원), 우리 고구마 L(30,900원), 베이컨체더치즈 L(27,900원), 필라델피아 치즈 스테이크 L(28,900원), K-쌈장 채끝 스테이크 L(33,900원), K-쌈장 채끝 스테이크 M(28,000원), K-Rib&치즈 L(33,900원), 와일드 와일드 웨스트 스테이크 L(33,900원), 와일드 와일드 웨스트 스테이크 M(28,000원), 베스트 콰트로 L(36,900원), 베스트 콰트로 M(29,500원), 블록버스터 4 L(36,900원), 블록버스터 4 M(29,500원), K-쌈장 채끝 스테이크+블랙타이거 슈림프 L(35,400원), K-쌈장 채끝스테이크+K-Rib&치즈  L(33,900원), K-쌈장 채끝스테이크+포테이토  L(30,900원), 리얼불고기 L(29,900원), 슈퍼슈프림 L(27,900원), 뉴욕 오리진 L(29,900원), 와와웨 스테이크 L 웨스턴핫윙 세트(46,000원), 블랙타이거 슈림프 L 웨스턴핫윙 세트(49,000원), 포테이토 L 웨스턴핫윙 세트(40,000원)"
