상호,주소,별점,메뉴
리베라호텔 청담,서울 강남구 영동대로 737,3.7,"룸타입 [무료주차] 슈페리어 더블  기준인원 2인 / 최대 인원 2인 (127,600원~), 룸타입 [무료주차] 디럭스 트윈   기준인원 2인 / 최대 인원 2인 (127,600원~), 룸타입 [무료주차] 온돌룸  기준인원 2인 / 최대 인원 4인 (135,520원~), 룸타입 [무료주차] 럭셔리 더블   기준인원 2인 / 최대 인원 2인 (145,200원~), 룸타입 [무료주차]럭셔리 트윈   기준인원 2인 / 최대 인원 2인 (145,200원~), 룸타입 [무료주차] 슈페리어 트윈   기준인원 3인 / 최대 인원 3인 (153,120원~), 룸타입 [무료주차] 신관그랜드 트윈  기준인원 3인 / 최대 인원 3인 (172,480원~), 룸타입 [무료주차] 18시 체크인 체크인시 배정   본관 (175,000원), 룸타입 [무료주차] 18시 체크인 체크인시 배정   신관 (210,000원), 룸타입 [무료주차]슈페리어 스위트   기준인원 2인 / 최대 인원 2인 (308,000원~)"
시그니엘 서울,서울 송파구 올림픽로 300 롯데월드타워 76~101층,4.4,
건대고시원,서울 성동구 동일로 173,0.0,
더리센츠호텔,서울 동대문구 천호대로 383,3.4,
알로프트 서울강남,서울 강남구 영동대로 736,3.4,
봉강장모텔,서울 성동구 연무장길 109,0.0,
미니캠프,서울 성동구 광나루로6길 48,5.0,
건대스테이,서울 성동구 광나루로9길 6,1.3,"룸타입 스탠다드(연박가능/OTT) (60,000원~), 룸타입 디럭스(연박가능/OTT) (70,000원~), 룸타입 빠른입실(랜덤객실배정) (70,000원~), 룸타입 스위트(연박가능/OTT) (80,000원~)"
서울올림픽파크텔,서울 송파구 올림픽로 448,3.9,"룸타입 스탠다드 트윈 (165,000원~), 룸타입 디럭스 트윈 (187,000원~)"
파크 하얏트 서울,서울 강남구 테헤란로 606,4.3,
신흥모텔,서울 성동구 송정4길 19,0.0,"룸타입 스탠다드룸(매트리스, 호텔식 고급침구, 60인치 스마트TV OTT 가능) (60,000원~), 룸타입 Deluxe room (디럭스룸, 독일제 프리미엄 침대 프레임과)(매트리스, 호텔식 고급침구, 60인치 스마트TV OTT 가능) (65,000원~), 룸타입 트윈 더블베드룸(매트리스, 호텔식 고급침구, 60인치 스마트TV OTT 가능) (90,000원~), 룸타입 Terrace Room (테라스룸, 독일제 프리미엄 침대 프레임과)(매트리스, 호텔식 고급침구, 60인치 스마트TV OTT 가능) (130,000원~)"
딜라이트호텔,서울 송파구 오금로11길 21-9,3.3,"룸타입 Standard(주차불가, 도보 only) (95,000원~), 룸타입 Standard (100,000원~), 룸타입 Deluxe (120,000원~), 룸타입 Stardard(breakfast 조식제공 PKG) (128,000원~), 룸타입 Deluxe(breakfast 조식제공 PKG) (148,000원~), 룸타입 Duplex Suite (160,000원~), 룸타입 Premium (180,000원), 룸타입 Duplex Suite(breakfast 조식제공 PKG) (188,000원~), 룸타입 Premium(breakfast 조식제공 PKG) (208,000원), 룸타입 Standard 롯데월드 커플패키지(객실1박+롯데월드자유이용권 2매+2인조식) (212,000원~), 룸타입 Deluxe 롯데월드 커플패키지(객실1박+롯데월드자유이용권 2매+2인조식) (232,000원~), 룸타입 Duplex Suite 롯데월드 커플패키지(객실1박+롯데월드자유이용권 2매+2인조식) (272,000원~), 룸타입 Premium 롯데월드 커플패키지(객실1박+롯데월드자유이용권 2매+2인조식) (297,000원)"
유림장여관,서울 성동구 광나루로9가길 24,0.0,"룸타입 스탠다드 (60,000원~), 룸타입 디럭스 (65,000원~), 룸타입 트윈 (65,000원~), 룸타입 스위트 (110,000원~), 룸타입 스위트 플러스 (130,000원~), 룸타입 디럭스-늦은퇴실 (165,000원), 룸타입 디럭스-빠른입실 (165,000원)"
포레스타호텔 2호점,서울 송파구 백제고분로7길 23-5,,"룸타입 Deluxe Double (89,600원~)"
호텔인나인,서울 강남구 영동대로 618,3.5,"룸타입 스탠다드 더블 (158,000원~), 룸타입 스탠다드 트윈 (158,000원~), 룸타입 스탠다드 더블 (164,000원~), 룸타입 스탠다드 트윈 (164,000원~), 룸타입 디럭스 코너 할리우드 더블 (178,000원~), 룸타입 디럭스 더블 우드 플로어 룸 (178,000원~), 룸타입 디럭스 코너 더블 (198,000원~), 룸타입 주니어스위트 더블 (228,000원~), 룸타입 주니어스위트 패밀리 트윈 (228,000원~), 룸타입 스위트 (278,000원~)"
호텔상주,서울 송파구 올림픽로8길 19,3.3,
