상호,주소,별점
더라운드 삼성점,서울 강남구 영동대로 648 1층,2.9
짬뽕촌,서울 성동구 광나루로6길 42,0
쭝화더밥,서울 성동구 동일로 135-1,0
전자방,서울 성동구 성수일로12길 23 1층,
차이나플레인 서울숲점,서울 성동구 뚝섬로1길 25,3.3
성운,서울 성동구 아차산로13길 33 1층,3.8
도삭면공방,서울 송파구 백제고분로7길 8-12 승현빌딩 1층,4.1
이가네양꼬치 성수직영점,서울 성동구 아차산로 116 1층 109호,4.3
송쉐프 장안점,서울 동대문구 장한로2길 20 2~4층,3.9
수향,서울 성동구 성수이로10길 14 1층 105호,
짬뽕타운,서울 성동구 성수이로 54,3.2
하오마라,서울 성동구 연무장5가길 25 SKV1타워 2층 210호,3.8
장가,서울 성동구 성수이로7길 27 서울숲코오롱디지털타워2차 1층 101-2호,4
성수장,서울 성동구 아차산로11길 11,3.8
홍정원,서울 성동구 뚝섬로 426 1층,3.8
홍보석,서울 성동구 성덕정7길 13 1층,4.3
공리훠궈&짬뽕 청담점,서울 강남구 도산대로92길 6 삼성빌딩 1층,4.4
태민양꼬치,서울 송파구 백제고분로7길 32-18 1층,4.5
신신원,서울 성동구 광나루로 290 2층,2.7
빠오즈푸 서울숲점,서울 성동구 왕십리로6길 13 1층,3.9
더블해피니스,서울 성동구 연무장길 39-25 1-2층,4.2
차이797 롯데백화점캐슬플라자,서울 송파구 올림픽로 269 2층,2.7
장가린,서울 성동구 아차산로13길 33 101호,1
우웨이탕,서울 성동구 상원1길 11-1 1층,3.6
메이탄 성수점,서울 성동구 왕십리로 50 메가박스스퀘어빌딩 2층,3.2
성수차이나,서울 성동구 아차산로7길 20 1층,3.8
미각짬뽕양꼬치,서울 성동구 성수일로8길 39 1층 103호,3.6
몽중헌 청담점,서울 강남구 도산대로 445 엠빌딩 지하1층,3.8
보배반점 성수점,서울 성동구 성수이로7길 27 서울숲코오롱디지털타워2차 1층 106-1호,3.9
몽중헌 방이점,"서울 송파구 위례성대로 10 S타워 20,21층",4
하얼빈양꼬치 잠실본점,서울 송파구 백제고분로17길 45 1층 101호,4.3
착한짜장,서울 성동구 아차산로7길 17-1 1층,3.4
꽁시,서울 성동구 아차산로13길 33,0
봉짬뽕,서울 성동구 성수일로11길 11,3.7
자매양꼬치 장한평역점,서울 동대문구 천호대로85길 11 1층,4.8
성수완탕,서울 성동구 연무장길 60 1층,2
유향소,서울 성동구 광나루로 248-1 1층,2.9
홍콩반점0410 성수역점,서울 성동구 아차산로 96 1층,3.7
태양각,서울 성동구 아차산로7길 19 2층,3
동북양꼬치,서울 송파구 석촌호수로12길 14,4
만리장성,서울 강남구 영동대로114길 7 1층,2.3
해피베네핏 성수,서울 성동구 성수이로7길 27 서울숲코오롱디지탈타워 지하 102호,
HDD판다,서울 성동구 연무장길 39 1층,3.9
명가교동짬뽕 신천점,서울 송파구 올림픽로12길 4,1.7
오한수우육면가 성수역점,"서울 성동구 성수일로8길 53 성수동복합시설 104,107호",3.7
홍성원,서울 강남구 압구정로79길 61 1층,3.6
일공,서울 강남구 영동대로112길 61 2층,4
난랑 방이본점,"서울 송파구 올림픽로32길 11 1, 2층",3.5
신천양꼬치,서울 송파구 백제고분로7길 32-29 1층,4.3
신라방마라탕,서울 동대문구 천호대로79길 66,4.5
텐파마라탕 마라샹궈,서울 강남구 압구정로79길 49 1층,4.5
신천마라샹궈,서울 송파구 백제고분로7길 52-24 1층,4.5
링링,서울 강남구 도산대로 521 2층,3.5
더원,서울 강남구 영동대로 648 삼안빌딩 2층,3.7
미성양꼬치 신천점,서울 송파구 백제고분로9길 53 1층,3.7
서두산딤섬만두,서울 송파구 올림픽로32길 18-23 2층,3.7
중국관,서울 성동구 뚝섬로 404,3.8
웰컴차이나,서울 성동구 연무장7길 16 지하1층,3.9
케이웍 잠실본점,서울 송파구 백제고분로7길 8 2층,4.1
동국성,서울 강동구 천호대로 985 1층,3.6
항방양육관 장한평점,서울 동대문구 천호대로85길 10 성동빌딩 1층 103호,3
심포니오브차이나,서울 송파구 올림픽로 212 갤러리아팰리스 지하1층 15호,3.8
샤오롱바오 잠실새내점,서울 송파구 백제고분로7길 16-15 1층,4.4
성덕,서울 강남구 도산대로85길 18 성영파크빌라 1층 101호,3.9
춘리마라탕 잠실새내점,서울 송파구 백제고분로7길 57 덕유빌딩 2층 201호,4
빈궁,서울 송파구 백제고분로7길 6 2층,4.2
팔진향 방이점,서울 송파구 올림픽로 348 5층,4.1
무한리필 홍태관 잠실새내본점,서울 송파구 백제고분로15길 55 2층,4.3
남경,서울 송파구 올림픽로43길 88 신관 지하1층,2.9
영화루,서울 동대문구 천호대로93길 8 1층,4.4
딤딤섬 롯데월드몰점,서울 송파구 올림픽로 300 지하1층,2.8
탕화쿵푸마라탕 성수동지점,서울 성동구 성수일로10길 26 하우스티세종타워 2층,3.5
짬뽕도감짬뽕에모든것을담다 군자점,서울 성동구 동일로59길 4,5
연은하양꼬치 본점,서울 송파구 백제고분로7길 32-8 1층,4.7
귀신반점,서울 강남구 학동로88길 5 진흥상가1층,3.7
홍콩반점0410 잠실새내점,서울 송파구 올림픽로8길 10 2층,
바오젠,서울 성동구 성수일로8길 59 1층,0
양복점 성수점,서울 성동구 왕십리로4길 28-2 1층,4.7
천미향,서울 성동구 성수일로10길 26 2층,2.2
서우,서울 성동구 서울숲2길 32-14 갤러리아포레 지하 1층 117호,3.6
북경 영빈관,서울 동대문구 장한로2길 24 2층,4
하오미앤,"서울 송파구 올림픽로35길 112 장미B상가 1동 지하 1층 3-1,3-2호",4.2
라이홍,서울 성동구 성수일로 77 서울숲IT밸리 1층,2.5
승리원,"서울 성동구 왕십리로 78 1,2층",2
도림 더 칸톤 테이블,서울 송파구 올림픽로 240 롯데호텔월드 32층,3.4
달구벌반점 청담점,서울 강남구 도산대로 510 1층,3.6
모던눌랑 잠실점,서울 송파구 잠실로 209 KT 송파빌딩 호텔동 지하1층 B106호,4.1
샹하이,서울 송파구 석촌호수로 82 1층,3.8
경미양꼬치,서울 송파구 올림픽로32길 18-21 1층,4.5
천미향,"서울 강남구 봉은사로108길 21 2,3층",3.4
만다복 롯데백화점잠실점,서울 송파구 올림픽로 240 지하 1층,3.2
미성양꼬치,서울 송파구 올림픽로32길 19-6 1층,2.8
짬뽕위에더짬뽕 본점,서울 성동구 서울숲6길 21,3.3
짬뽕지존 잠실새내점,서울 송파구 올림픽로12길 14 1층,2.3
한성양꼬치,서울 송파구 올림픽로35길 104 장미C상가 1층 113~114호,3.8
차이나스토리 삼성생명잠실사옥점,서울 송파구 올림픽로 295 지하1층,3.4
팀호완 삼성점,"서울 강남구 봉은사로86길 30 지하1,1층",3.4
짬봉타운,서울 성동구 성수이로 54,0
차이린,서울 강남구 삼성로112길 10,3.4
호우시절,서울 강남구 영동대로 721,4.3
호호향,서울 송파구 백제고분로17길 45 1층 2호,5
티엔티엔 (휴업중),서울 성동구 왕십리로10길 5 1층,3.2
일일향 잠실점,서울 송파구 석촌호수로 290 성우빌딩 지하1층-2층 B02호,
마라공방 잠실역점,서울 송파구 송파대로 558 지하1층 B11호,4.2
일월성,서울 송파구 올림픽로35길 112 장미아파트 B상가 1동 3층 309호,3.1
천리향,서울 동대문구 천호대로85길 100,3.3
야래향,서울 송파구 올림픽로35길 124 지하1층,2.4
차이797 잠실롯데월드몰점,서울 송파구 올림픽로 300 5층,2
오늘완탕,서울 성동구 연무장길 60 1층,1
성화마라탕,"서울 송파구 올림픽로35가길 9 지하1층 39,40호",4.5
만리장성,서울 송파구 올림픽로 293-19 현대타워아파트 지하1층 15호,3.9
만옥,서울 송파구 올림픽로 300 지하1층 3355존,3.4
중화요리린,서울 송파구 백제고분로9길 37 제이비빌딩 2층 201호,3
제제,서울 성동구 서울숲길 46-1 1층,
취향마라 잠실점,서울 송파구 백제고분로7길 18 2층,4.8
태화루,서울 동대문구 장한로5길 53,4.4
라화쿵부 잠실새내점,서울 송파구 백제고분로7길 50 2층,3.2
바이완,서울 송파구 백제고분로7길 58 2층 202호,
천진영감 잠실점,서울 송파구 올림픽로 269 지하1층,3.7
빵양빵양,서울 성동구 성덕정15길 3 1층,0
탕화쿵푸마라탕 잠실점,서울 송파구 올림픽로12길 8 제일빌딩 2층 202호,4
