상호,업종,주소,메뉴
헤어웨이 스페이스 세종대점,미용실,서울 광진구 군자로 109 2층,"커트(15,000원), 롯드 펌(40,000원), 셋팅/디지털 펌(50,000원), 염색(45,000원), 모발클리닉(50,000원), 두피클리닉(50,000원)"
박승철헤어스투디오 광나루역점,미용실,서울 광진구 천호대로 813 신성빌딩,"(첫방문)남성 콜드펌(63,000원), (첫방문)여성 콜드펌(77,000원), (첫방문)시세이도 셋팅or매직(140,000원), (첫방문)시세이도볼륨매직(161,000원), (첫방문)프리미엄 뿌리염색(77,000원)"
웨이브로우 건대,"속눈썹증모,연장",서울 광진구 능동로 143 3층,
닥터모락 건대점,"두피,탈모관리",서울 광진구 아차산로 226 6층,
래쉬톡 건대점,"속눈썹증모,연장",서울 광진구 동일로20길 119 2층,
준오헤어 강변역점,미용실,서울 광진구 광나루로56길 63 프라임프라자 2층 준오헤어,"베이직컷(35,000원), 베이직펌(178,000원), 베이직 컬러(168,000원)"
헤어데이즈,미용실,서울 광진구 능동로19길 35 광진 코지웰 203,"여성컷(23,000원), 남성컷(20,000원), 다운펌+컷(35,000원), 남성 베이직펌(70,000원), 여성 베이직 매직(120,000원), 여성 클리닉 매직(170,000원)"
칼로리바 다이어트 건대직영점,"다이어트,비만",서울 광진구 능동로 90 더클래식500 A동 4층,
포뷰트 맨즈헤어 건대 1호점,미용실,서울 광진구 능동로 121 3층 포뷰트 맨즈헤어 건대 1호점,"커트(직급별 변동)(25,000원), 다운펌(직급별 변동)(55,000원), 일반펌(직급별 변동)(100,000원), 볼륨매직(직급별 변동)(130,000원), 염색(직급별 변동)(50,000원)"
더 부띠끄 건대점,미용실,서울 광진구 아차산로 218 성원빌딩 1층,"남성 컷 (직급별 차등요금)(25,000원), 여성 컷 (직급별 차등요금)(30,000원), 열펌 (기장추가 없음)(150,000원), 스탠다드 염색 (기장추가 없음)(90,000원), 클리닉 (기장추가 없음)(100,000원)"
분칠하는 고양이,메이크업,서울 광진구 동일로22길 42 5층 502호,
르아델 왁싱속눈썹,"왁싱,제모",서울 광진구 아차산로 345 2층,
더부띠끄 라운지점,미용실,"서울 광진구 능동로 184 1, 2층","남성 컷(직급별 차등요금)(25,000원), 여성 컷(직급별 차등요금)(30,000원), 열펌(직급별차등요금)(150,000원), 스텐다드 염색(기장추가없음)(90,000원)"
이은왁싱 건대점,"왁싱,제모",서울 광진구 능동로11길 8-7 연안빌딩 5층,
메리왁싱 건대점,"왁싱,제모",서울 광진구 아차산로31길 20-6 2층 메리왁싱,
예쁜아이건대속눈썹&눈썹,"속눈썹증모,연장",서울 광진구 동일로20길 62 2층,
박공헤어 화양세종하우스,미용실,서울 광진구 군자로 70 1층,"여성 컷(21,000원), 남성 컷(19,000원), 베이직 (뿌리펌)(50,000원), 매직셋팅(160,000원), 디지털펌(90,000원), 탈색(1회)(90,000원), 기본염색(70,000원)"
제이업뷰티,"속눈썹증모,연장",서울 광진구 자양로18길 41 3층,
세종뷰티 건대본점,"속눈썹증모,연장",서울 광진구 능동로 69 자양호반써밋 103동 상가2층,
굿바이브바버샵,이용원,서울 광진구 용마산로21길 27 1층,"첫방문 커트 (CUT)(35,000원), 커트 (CUT)(40,000원), CUT + DOWN PERM(70,000원), 커트+세치염색(CUT+COLOOR)(60,000원), 면도 (FULL SHAVE)(33,000원), 수염 정리 (BEARD TRIM)(22,000원), DOWN PERM(40,000원)"
준오헤어 건대역1호점,미용실,서울 광진구 능동로 110 스타시티 영존 건물 지상3층,"여성/남성 컷(35,000원), 수석디자이너 컷(35,000원), 디자인컷/부원장/실장(40,000원), 남성일반펌(150,000원), 셋팅펌(220,000원), 여자염색(140,000원), 모발풀코스클리닉(150,000원), 스페셜케어(150,000원), 아이롱드라이(35,000원)"
반에스 헤어 구의점,미용실,서울 광진구 아차산로 431 강변SK뷰 B107,"남성 커트(18,000원), 여성 커트(23,000원), 남자학생커트(15,000원), 여학생커트(20,000원), 남성 커트+다운펌(옆)(35,000원), 남성커트+다운펌(옆뒤)(45,000원), 전체 다운펌+컷(60,000원), 남성디자인펌(60,000원), 여성베이직펌(80,000원), 남성볼륨매직+커트(90,000원), 뿌리매직(5cm)(90,000원), 디지털펌(셋팅펌)+기본케어+커트(99,000원), (볼륨)매직+기본케어+커트(120,000원), 매직C컬펌+기본케어+커트(135,000원), 매직&셋팅+기본케어+커트(150,000원), 뿌리염색(3cm)이벤트(35,000원), 남자염색+커트(60,000원), 전체염색+커트(90,000원), 탈색+커트(100,000원), 수분 3단계 케어(50,000원), 단백질 5단계 케어(70,000원), 복구클리닉(130,000원), 드라이(20,000원)"
라청담미용실,미용실,서울 광진구 능동로 288 2층,"앞머리컷(3,000원), 남성 컷(15,000원), 남자컷+다운펌(할인가)(30,000원), 여자컷(18,000원), 남자컷+디자인펌(50,000원), 남자컷+다운펌+디자인펌(60,000원), 맨즈특수펌(히피펌.호일펌.스핀스왈로)(77,000원), 열펌패키지(90,000원), 우먼뿌리매직(80,000원), 맨즈매직&볼륨매직(77,000원), 남성 염색(44,000원), 맨즈컷+맨즈프리미엄염색+수분클리닉(77,000원), 우먼프리미엄뿌리염색(44,000원), 우먼프리미엄전체염색(77,000원), 로레알프리미엄염색(100,000원), 밀본클리닉(70,000원)"
아테나뷰티 에스테틱,"피부,체형관리",서울 광진구 능동로 276 3층 301호,
붙임머리 헤어by안나,미용실,서울 광진구 능동로4길 71-1 1층 헤어by안나,"여자커트(22,000원), 일반펌(70,000원), 염색(70,000원), 달비모18인치(240,000원), 최상달비모18인치땋기(290,000원)"
더풋샵 세종대점,발관리,서울 광진구 광나루로 361 2층 206호,
에이바헤어 중곡점,미용실,서울 광진구 면목로 136 201호,"앞머리컷(5,000원), 남성커트(18,000원), 여성커트(22,000원), 다운펌컷(36,000원), 학생커트(18,000원), 남자 디자인펌(56,000원), 여자 일반펌(60,000원), 뿌리 볼륨펌(50,000원), 여성 셋팅펌(80,000원), 여성 매직셋팅(130,000원), 여성 볼륨매직(96,000원), 남성 볼륨매직(80,000원), 뿌리염색(40,000원), 남성 전체염색(56,000원), 여성 전체염색(64,000원), 남성 탈색(56,000원), 여성 탈색(64,000원), 신데렐라 클리닉(100,000원), 두피 스케일링(30,000원), 르미네상스 프리미엄(70,000원)"
피부합,"피부,체형관리",서울 광진구 능동로37길 7 휴의빌딩 6층,
차분히살롱,미용실,서울 광진구 능동로 400 행정안전타운 2층 220호 차분히살롱,"앞머리컷(5,000원), 남성컷(23,000원), 여성컷(27,000원), 여자펌(140,000원), 앞머리펌(40,000원), 남자펌(90,000원), 셋팅펌+클리닉+컷(160,000원), 매직셋팅(190,000원), 볼륨매직(150,000원), 뿌리매직(140,000원), 뿌리볼륨(100,000원), 남성볼륨매직(110,000원), 염색+클리닉+컷(130,000원), 뿌리염색(60,000원), 남성염색(70,000원), 여성염색(90,000원), 탈색(130,000원), 클리닉(100,000원), 샴푸(15,000원), 드라이(30,000원)"
군자중국마사지,"피부,체형관리",서울 광진구 천호대로 533,
로라뷰티,"속눈썹증모,연장",서울 광진구 천호대로111길 50 1층 우측 로라뷰티,
리안헤어 자양역점,미용실,서울 광진구 능동로 18 이튼타워 2층 204호,"앞머리컷(5,000원), 학생컷(18,000원), 남성컷(20,000원), 여성컷(23,000원), 남성 베이직펌(64,000원), 남성 디자인펌(72,000원), 남성 특수펌(88,000원), 남성 사이드다운펌(25,000원), 여성 베이직펌(64,000원), 여성 디자인펌(80,000원), 남성 매직 아이롱(96,000원), 열펌(96,000원), 매직(104,000원), 매직셋팅(144,000원), 복구 매직(280,000원), 복구 매직셋팅(300,000원), 복구 셋팅(250,000원), 뿌리염색(45,000원), 뿌리탈색(50,000원), 남성 염색(56,000원), 남성 탈색(80,000원), 여성 염색(64,000원), 여성 탈색(90,000원), 남성 모발케어(40,000원), 남성 두피케어(30,000원), 남성 탈모케어(50,000원), 여성 아웃케어(48,000원), 여성 이너케어(80,000원), 여성 두피클리닉(35,000원), 여성 탈모클리닉(55,000원), 남성드라이(20,000원), 여성드라이(25,000원), (N예약)업스타일(80,000원)"
미쁘다뷰티군자,"속눈썹증모,연장",서울 광진구 능동로40길 36 1층 미쁘다뷰티,
코너 구의점,미용실,서울 광진구 아차산로 431 강변SK뷰아파트 상가 1층 코너 구의점,"남성 컷(23,000원), [실장] 남성 컷(25,000원), [원장]남성/여성 컷(33,000원), 앞머리컷(5,000원), 여성 컷(25,000원), [실장] 여성 컷(27,000원), 일반펌(85,000원), 다운펌(22,000원), 디자인펌(120,000원), [원장/실장] 일반펌(100,000원), [원장/실장]디자인펌(130,000원), 디지털&세팅(140,000원), 매직세팅(170,000원), 매직&볼륨매직(140,000원), 뿌리매직(100,000원), man 볼륨매직(120,000원), [원장/실장]디지털&세팅(150,000원), [원장/실장]매직세팅(180,000원), [원장/실장]매직&볼륨매직(150,000원), [원장/실장]man볼륨매직(130,000원), 전체염색(90,000원), man 전체염색(70,000원), 탈색(100,000원), 뿌리염색(50,000원), 모발클리닉(커리쉴)(70,000원), 신데렐라 클리닉(150,000원)"
아나덴슈가링왁싱 건대입구역점,"왁싱,제모",서울 광진구 동일로20길 92 2층,
해요 아차산역점,미용실,서울 광진구 자양로 294 1층,"남성컷(20,000원), 여성컷(23,000원), 남성 일반펌(72,000원), 여성 일반펌(80,000원), 셋팅/디지털펌(88,000원), 남성 매직(96,000원), 여성 매직(104,000원), [상시이벤트]뿌리염색 2시까지)(39,000원), 뿌리염색(45,000원), 남성 전체염색(72,000원), 여성 전체염색(88,000원), 속눈썹 수분펌(40,000원), 속눈썹 연장(50,000원)"
한솜헤어,미용실,서울 광진구 천호대로109길 18 1층 HANSOM,"CUT(33,000원), 일반 앞머리컷+펌(40,000원), 다운펌(30,000원), 맨즈펌(129,000원), 젤리히피펌(229,000원), 여신고데기펌(209,000원), 빌드펌 cs컬펌(209,000원), 매직 / 볼륨매직(209,000원), 탈색모펌(269,000원), 뿌리염색(69,000원), 전체염색(119,000원), FULL 클리닉(139,000원)"
그레이 풋 앤 바디,"피부,체형관리",서울 광진구 아차산로75길 9 그레이,
지엔에이치 헤어,미용실,서울 광진구 아차산로51길 78 2층,"남성컷(20,000원), 여성컷(23,000원), 일반펌(남)(70,000원), 일반펌(여)(90,000원), 셋팅or디지털(120,000원), 매직스트레이트(130,000원), 볼륨매직(130,000원), 매직셋팅(180,000원), 볼륨매직(남)(90,000원), 염색(여)(90,000원), 염색(남)(70,000원), 모발클리닉(70,000원), 특수펌(남)(100,000원)"
에즈블랑 건대스타시티몰점,"피부,체형관리",서울 광진구 능동로 92 롯데백화점스타시티몰 3층,
